seed,d,n,K,generated_n,tau,metric,tv,tv_shift_crosscheck,tv_unthresholded_control,tv_permuted_train_control,tv_target_target_floor,abar_first,abar_last,runtime_seconds
20261103,2,1000,64,1024,0.10000000000000002,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06406990268871908,0.999755859375,2.743558461181142e-32,14.231786727905273
20261103,2,2000,64,1024,0.07937005259840998,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.049389716373896476,0.999755859375,2.743558461181142e-32,28.188526153564453
20261103,3,250,64,1024,0.20647823694200035,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.39453125,0.999755859375,2.743558461181142e-32,3.3903489112854004
20261103,3,500,64,1024,0.16938139800964527,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3720703125,0.999755859375,2.743558461181142e-32,6.947272539138794
20261103,3,1000,64,1024,0.13894954943731377,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.390625,0.999755859375,2.743558461181142e-32,14.325228214263916
20261103,3,2000,64,1024,0.11398522810475968,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.41015625,0.999755859375,2.743558461181142e-32,26.724945545196533
20261104,1,250,64,1024,0.10985605433061175,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03680767841685635,0.999755859375,2.743558461181142e-32,0.8024632930755615
20261104,1,500,64,1024,0.08325532074018731,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.02942214437618545,0.999755859375,2.743558461181142e-32,1.5945537090301514
20261104,1,1000,64,1024,0.06309573444801932,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.030994472558749188,0.999755859375,2.743558461181142e-32,3.448570489883423
20261104,1,2000,64,1024,0.047817624989501845,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.5000187326276201,0.49999403671932685,0.02527032115261693,0.999755859375,2.743558461181142e-32,7.294577360153198
20261104,2,250,64,1024,0.15874010519681997,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06121974911939327,0.999755859375,2.743558461181142e-32,4.1104161739349365
20261104,2,500,64,1024,0.12599210498948732,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.0743089659399996,0.999755859375,2.743558461181142e-32,7.292141675949097
20261104,2,1000,64,1024,0.10000000000000002,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06838910444745583,0.999755859375,2.743558461181142e-32,13.642388343811035
20261104,2,2000,64,1024,0.07937005259840998,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.06212994105265795,0.999755859375,2.743558461181142e-32,27.08438992500305
20261104,3,250,64,1024,0.20647823694200035,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.4072265625,0.999755859375,2.743558461181142e-32,3.257422924041748
20261104,3,500,64,1024,0.16938139800964527,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3974609375,0.999755859375,2.743558461181142e-32,6.63235068321228
20261104,3,1000,64,1024,0.13894954943731377,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.390625,0.999755859375,2.743558461181142e-32,13.665259599685669
20261104,3,2000,64,1024,0.11398522810475968,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.359375,0.999755859375,2.743558461181142e-32,26.100457668304443
20261105,1,250,64,1024,0.10985605433061175,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03212807654624043,0.999755859375,2.743558461181142e-32,0.8096370697021484
20261105,1,500,64,1024,0.08325532074018731,deterministic_gaussian_KDE_grid_quadrature_TV,0.4995057554983832,0.49950572082611056,0.49999403671932685,0.49999403671932685,0.02981790584934844,0.999755859375,2.743558461181142e-32,1.5565464496612549
20261105,1,1000,64,1024,0.06309573444801932,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.04134039932730988,0.999755859375,2.743558461181142e-32,3.4160614013671875
20261105,1,2000,64,1024,0.047817624989501845,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999403671932685,0.4999940020564715,0.49999403671932685,0.49999403671932685,0.03751719561242466,0.999755859375,2.743558461181142e-32,7.346955299377441
20261105,2,250,64,1024,0.15874010519681997,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.07229599019389242,0.999755859375,2.743558461181142e-32,4.117561340332031
20261105,2,500,64,1024,0.12599210498948732,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.05193374612520878,0.999755859375,2.743558461181142e-32,7.213926315307617
20261105,2,1000,64,1024,0.10000000000000002,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.05658524568594967,0.999755859375,2.743558461181142e-32,13.778318643569946
20261105,2,2000,64,1024,0.07937005259840998,deterministic_gaussian_KDE_grid_quadrature_TV,0.49999044348357463,0.499989985041695,0.49999044348357463,0.49999044348357463,0.07036556797864281,0.999755859375,2.743558461181142e-32,27.277039051055908
20261105,3,250,64,1024,0.20647823694200035,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3896484375,0.999755859375,2.743558461181142e-32,3.3526997566223145
20261105,3,500,64,1024,0.16938139800964527,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3935546875,0.999755859375,2.743558461181142e-32,6.6715569496154785
20261105,3,1000,64,1024,0.13894954943731377,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.38671875,0.999755859375,2.743558461181142e-32,13.687373399734497
20261105,3,2000,64,1024,0.11398522810475968,heldout_histogram_TV_proxy_d3,0.5,0.5,0.5,0.5,0.3798828125,0.999755859375,2.743558461181142e-32,26.032352209091187
